q,S,M,SD,C,V,KD,L,MP,description,year
q1,4,1,2,2,4,1,3,4,Profit distribution for independent schools must be prohibited ,2022
q2,2,4,4,2,1,4,4,1,Nuclear power must be expanded ,2022
q3,1,4,4,1,1,4,2,1,The police must be able to establish visitation zones in crime-prone areas,2022
q4,2,1,1,1,4,1,1,2,The RUT deduction must be abolished ,2022
q5,1,4,4,1,1,1,1,1,Sweden must reduce international aid,2022
q6,2,2,1,3,4,2,2,4,The royal family should be allocated less money ,2022
q7,3,4,4,3,2,4,3,1,The tax on petrol and diesel must be reduced ,2022
q8,1,1,1,1,3,1,1,2,The tax on properties must be increased ,2022
q9,3,3,3,4,1,3,2,1,Culture must be largely financed privately,2022
q10,2,1,1,3,3,1,1,3,It will become more difficult for municipalities to stop wind power construction,2022
q11,2,4,4,1,1,3,2,1,It should be forbidden to beg in Sweden,2022
q12,1,3,1,4,4,1,3,4,A third legal gender must be introduced for those who identify as neither female nor male ,2022
q13,2,3,4,3,1,4,3,2,Parents must decide for themselves how they distribute the parental leave ,2022
q14,2,1,2,1,4,2,1,4,Private online doctors will no longer be financed by tax funds,2022
q15,1,1,1,2,4,1,2,4,Permanent residence permits must be the main rule in migration policy ,2022
q16,4,4,4,4,1,4,4,1,Sweden must become be a member of NATO,2022
q17,4,1,4,2,4,1,2,4,The temporary increase in the A-kassa must be made permanent ,2022
q18,3,4,3,4,1,3,3,1,Beach protection in rural municipalities must be abolished ,2022
q19,3,1,1,1,4,1,2,4,The rearmament of the Swedish defense is to be financed with higher taxes ,2022
q20,1,3,4,1,1,4,1,1,Public service - TV and radio - must have a narrower mission ,2022
q21,2,2,1,2,4,2,3,4,New sales of petrol and diesel cars are to be banned from 2025 onwards,2022
q22,2,4,4,1,1,3,3,1,Grades must be compulsory from year 4 ,2022
q23,3,2,3,3,4,2,2,4,More tax income must be redistributed from rich to poor municipalities ,2022
q24,4,3,4,4,4,4,3,4,The purchase of sexual services shall be punished with at least imprisonment,2022
q25,1,3,1,3,1,4,3,1,Market rents must be introduced on new tenancies,2022
q26,1,4,3,1,1,4,3,1,Sweden must dismantle the plans for high-speed trains,2022
q27,2,2,3,1,2,4,3,2,The state must take over responsibility for healthcare ,2022
q28,3,1,3,1,4,1,1,4,The grace day must be abolished ,2022
q29,1,3,2,3,1,3,3,1,It should be easier for employers to dismiss employees ,2022
q30,2,4,4,4,1,4,4,1,It should be easier to get permission to open mines in Sweden ,2022
q33,3,1,1,1,4,1,1,3,A wealth tax should be reintroduced ,2018
q34,2,4,4,4,1,4,4,2,The RUT deduction must be greatly expanded,2018
q35,2,2,3,2,2,3,3,1,The amortization requirements on housing loans must be removed ,2018
q36,1,4,4,4,1,4,4,1,The state's investment support for the construction of new housing must be removed ,2018
q37,3,3,1,3,4,2,3,4,Sweden must be multicultural,2018
q38,4,4,4,2,1,3,3,1,Sweden must accept fewer refugees,2018
q39,2,3,4,2,1,3,2,1,Calls to prayer must be stopped,2018
q40,1,4,1,4,1,4,4,1,Entry level jobs with low salary for new arrivals,2018
q41,3,1,1,1,4,1,1,4,Gender quotas with min 40% of each gender on company boards,2018
q42,3,1,1,1,4,1,1,3,"According to law, parental leave must be divided equally ",2018
q43,1,3,3,3,1,3,3,2,Culture must be largely financed by private actors ,2018
q44,1,4,4,4,1,4,4,1,Employment agency must be abolished,2018
q45,1,3,1,4,1,3,3,2,Small businesses are to be exempted entirely from the rules for dismissals ,2018
q46,2,4,4,4,2,4,4,3,The tax on work must be reduced ,2018
q47,4,4,4,3,1,3,3,1,The police must prioritize seeking out and rejecting asylum seekers who have been rejected,2018
q48,2,4,4,2,1,3,3,2,Abolish parole so that convicts serve out their sentences ,2018
q49,2,4,4,2,1,3,2,1,Begging should be banned,2018
q50,1,4,4,3,1,3,3,1,Tax on air travel should be removed,2018
q51,2,1,1,2,4,2,2,4,Ban new sales of petrol and diesel cars from 2025 onwards ,2018
q52,3,1,2,4,4,3,2,4,Disposable items made of plastic should be banned ,2018
q53,2,3,3,1,1,3,4,1,Nuclear power must be increased,2018
q54,2,4,4,4,1,4,4,1,A written assessment of order and conduct must be introduced in primary school ,2018
q55,4,2,1,2,4,1,4,2,Religious private schools should be banned ,2018
q56,2,2,4,1,4,2,4,3,The state must take over responsibility for the school from the municipalities,2018
q57,4,2,2,1,4,1,1,4,Free schools' opportunities to make a profit must be limited ,2018
q58,2,2,3,4,2,2,2,4,The employer's fee must be reduced for companies in sparsely populated municipalities,2018
q59,3,4,4,4,2,4,4,1,Amend the Beach Protection Act so that it will be easier to build close to the beach ,2018
q60,4,1,2,3,4,1,2,3,Redistribute more money from rich to poor municipalities ,2018
q61,1,4,1,4,1,4,4,1,Sweden is to become a member of NATO,2018
q62,1,1,4,1,4,1,1,1,Sweden is to leave the EU,2018
q63,2,2,3,1,1,4,2,2,The state must take over responsibility for healthcare from the county councils ,2018
q64,3,2,1,3,4,1,3,4,A third gender should be introduced for those who feel neither male nor female ,2018
